"Gene Symbol"	"Gene Name"
"C1R"	"Complement component 1, r subcomponent"
"TPM1"	"Tropomyosin 1 (alpha)"
	
	"Transcribed locus"
"ZNF291"	"**Zinc finger protein 291"
	"Transcribed locus, strongly similar to XP_001140852.1 hypothetical protein [Pan troglodytes]"
	"Transcribed locus"
	"Transcribed locus"
"TINAG"	"Tubulointerstitial nephritis antigen"
	"Transcribed locus"
"MR1"	"**Major histocompatibility complex, class I-related"
	"Transcribed locus"
	"Transcribed locus"
"SLC45A4"	"Solute carrier family 45, member 4"
	"CDNA FLJ43336 fis, clone NT2RI3007065"
	"Transcribed locus"
	"Transcribed locus"
	
	
	
	"CDNA FLJ33993 fis, clone DFNES2007757"
	"Transcribed locus"
	
	
	
"SNORA26"	"Small nucleolar RNA, H/ACA box 26"
	"Transcribed locus, weakly similar to XP_222667.4 similar to eEF1A2 binding protein [Rattus norvegicus]"
"GRM8"	"Glutamate receptor, metabotropic 8"
	
	"Transcribed locus"
"SLC35D3"	"**Solute carrier family 35, member D3"
	
	"Transcribed locus"
"DNASE2B"	"Deoxyribonuclease II beta"
	
	"Transcribed locus"
	"Transcribed locus"
"EGFLAM"	"EGF-like, fibronectin type III and laminin G domains"
	"Transcribed locus"
	"**Transcribed locus"
	"Transcribed locus"
"NUBP1"	"**Nucleotide binding protein 1 (MinD homolog, E. coli)"
	"Transcribed locus"
	"Transcribed locus"
	
	"Transcribed locus"
"PTCH1"	"Patched homolog 1 (Drosophila)"
"ZMYND8"	"Zinc finger, MYND-type containing 8"
	"Full-length cDNA clone CS0DC014YC12 of Neuroblastoma Cot 25-normalized of Homo sapiens (human)"
"GM2A"	"**GM2 ganglioside activator"
	"Transcribed locus"
	"Transcribed locus"
	"**Transcribed locus, strongly similar to XP_525018.1 similar to dihydropyridine sensitive calcium channel [Pan troglodytes]"
"ARHGEF5"	"Rho guanine nucleotide exchange factor (GEF) 5"
"ACSM2"	"**Acyl-CoA synthetase medium-chain family member 2"
"SCAMP4"	"**Secretory carrier membrane protein 4"
	"Transcribed locus"
	"Transcribed locus"
"ZNF257"	"Zinc finger protein 257"
"ID4"	"**Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein"
	"Transcribed locus"
"ADRA2B"	"Adrenergic, alpha-2B-, receptor"
"C10orf132"	"Chromosome 10 open reading frame 132"
"ERF"	"Ets2 repressor factor"
	"*mitoch. cont. EST"
"MUC13"	"Mucin 13, cell surface associated"
"KITLG"	"KIT ligand"
"KITLG"	"KIT ligand"
	"Transcribed locus"
	"Transcribed locus"
	
	
	"Transcribed locus"
	"Transcribed locus"
	
	"Transcribed locus"
	
	"Transcribed locus"
"TARP"	"TCR gamma alternate reading frame protein"
"SLC26A7"	"Solute carrier family 26, member 7"
	"Transcribed locus"
	
	"Transcribed locus"
	"CDNA FLJ26232 fis, clone ADG09495"
	
"ANXA4"	"Annexin A4"
	"Transcribed locus"
	
	"Transcribed locus"
"KLK3"	"Kallikrein-related peptidase 3"
	
	
	"Transcribed locus, strongly similar to NP_848586.1 domain (binds single-stranded nucleic acids) containing-like [Homo sapiens]"
"C10orf99"	"Chromosome 10 open reading frame 99"
"SLCO4A1"	"Solute carrier organic anion transporter family, member 4A1"
"REG4"	"Regenerating islet-derived family, member 4"
"C10orf99"	"Chromosome 10 open reading frame 99"
	
	
	
	
	
	"Transcribed locus"
"PAX2"	"Paired box gene 2"
"LENG4"	"Leukocyte receptor cluster (LRC) member 4"
	"Transcribed locus"
"C14orf118"	"Chromosome 14 open reading frame 118"
	
"YWHAZ"	"Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"
	"Transcribed locus"
"SLC38A5"	"Solute carrier family 38, member 5"
"OVOL2"	"Ovo-like 2 (Drosophila)"
	"Transcribed locus"
	
"ACSL1"	"Acyl-CoA synthetase long-chain family member 1"
"PGK1"	"**Phosphoglycerate kinase 1"
	"**Transcribed locus"
"EIF3S5"	"**Eukaryotic translation initiation factor 3, subunit 5 epsilon, 47kDa"
"LOC440991"	"**Similar to 40S ribosomal protein S3"
"FLNB"	"**Filamin B, beta (actin binding protein 278)"
	"Transcribed locus"
	"Transcribed locus"
"LEMD2"	"LEM domain containing 2"
	"Transcribed locus, moderately similar to XP_515189.1 similar to Rho GTPase activating protein 8 isoform 4; BCH domain-containing Cdc42GAP-like protein [Pan troglodytes]"
	"Transcribed locus"
"MC1R"	"Melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)"
"CDH24"	"Cadherin-like 24"
"SUZ12P"	"**Suppressor of zeste 12 homolog pseudogene"
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
	
"KLB"	"Klotho beta"
	"MRNA; cDNA DKFZp667B1513 (from clone DKFZp667B1513)"
	
	"Transcribed locus"
"C17orf85"	"Chromosome 17 open reading frame 85"
"ZNF254"	"Zinc finger protein 254"
	"Transcribed locus"
	"Transcribed locus"
"GDEP"	"Gene differentially expressed in prostate"
	"Transcribed locus"
	
	"Transcribed locus"
	"Transcribed locus"
	
"KLK3"	"Kallikrein-related peptidase 3"
	
	
"PCA3"	"Prostate cancer antigen 3"
"PSCA"	"Prostate stem cell antigen"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
"SPRR1B"	"Small proline-rich protein 1B (cornifin)"
"CCL4L1"	"Chemokine (C-C motif) ligand 4-like 1"
"SSB"	"Sjogren syndrome antigen B (autoantigen La)"
"SHBG"	"Sex hormone-binding globulin"
"SELE"	"Selectin E (endothelial adhesion molecule 1)"
"STS"	"Steroid sulfatase (microsomal), arylsulfatase C, isozyme S"
"RAB4A"	"RAB4A, member RAS oncogene family"
"RANBP1"	"RAN binding protein 1"
"PKLR"	"Pyruvate kinase, liver and RBC"
"TYK2"	"Tyrosine kinase 2"
"PTPRG"	"Protein tyrosine phosphatase, receptor type, G"
"PTPRA"	"Protein tyrosine phosphatase, receptor type, A"
"PIGB"	"Phosphatidylinositol glycan anchor biosynthesis, class B"
"ARHGEF16"	"Rho guanine exchange factor (GEF) 16"
"MSX2"	"Msh homeobox 2"
"LZTR1"	"Leucine-zipper-like transcription regulator 1"
"LOC440248"	"Hypothetical LOC440248"
"C6orf32"	"Chromosome 6 open reading frame 32"
"WASF1"	"WAS protein family, member 1"
"KIAA0265"	"KIAA0265 protein"
"SLC35D1"	"Solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1"
"SNX19"	"Sorting nexin 19"
"SMG7"	"Smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans)"
"SLC7A6"	"Solute carrier family 7 (cationic amino acid transporter, y+ system), member 6"
"SQLE"	"Squalene epoxidase"
"MRPS12"	"Mitochondrial ribosomal protein S12"
"TCF7L2"	"Transcription factor 7-like 2 (T-cell specific, HMG-box)"
"DPYS"	"Dihydropyrimidinase"
"SKAP1"	"Src kinase associated phosphoprotein 1"
"MGC39900"	"Hypothetical protein MGC39900"
"DDX11"	"**DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)"
"SNTB1"	"Syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)"
"MARCH6"	"Membrane-associated ring finger (C3HC4) 6"
"RAC3"	"Ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)"
"P2RX4"	"Purinergic receptor P2X, ligand-gated ion channel, 4"
"NDUFS4"	"NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)"
"CRHR1"	"Corticotropin releasing hormone receptor 1"
"CLPS"	"Colipase, pancreatic"
"CBLN1"	"Cerebellin 1 precursor"
"CKS1B"	"CDC28 protein kinase regulatory subunit 1B"
"CD8A"	"CD8a molecule"
"CD48"	"CD48 molecule"
"LOC440838"	"**Similar to Apolipoprotein C-III precursor (Apo-CIII)"
"APOB"	"Apolipoprotein B (including Ag(x) antigen)"
"ALDH7A1"	"Aldehyde dehydrogenase 7 family, member A1"
"ANXA11"	"Annexin A11"
"ANXA7"	"Annexin A7"
"ANXA1"	"Annexin A1"
"IGFBP6"	"Insulin-like growth factor binding protein 6"
"IGF2"	"Insulin-like growth factor 2 (somatomedin A)"
"INPPL1"	"Inositol polyphosphate phosphatase-like 1"
"IGHG1"	"**Immunoglobulin heavy constant gamma 1 (G1m marker)"
"MCL1"	"Myeloid cell leukemia sequence 1 (BCL2-related)"
"NR4A2"	"Nuclear receptor subfamily 4, group A, member 2"
"FHL1"	"**Four and a half LIM domains 1"
"NCOR2"	"Nuclear receptor co-repressor 2"
"STAM"	"Signal transducing adaptor molecule (SH3 domain and ITAM motif) 1"
"SPTLC2"	"Serine palmitoyltransferase, long chain base subunit 2"
"SLN"	"Sarcolipin"
"RPL28"	"Ribosomal protein L28"
"ZNF169"	"Zinc finger protein 169"
"SLC12A4"	"Solute carrier family 12 (potassium/chloride transporters), member 4"
"EIF2AK1"	"Eukaryotic translation initiation factor 2-alpha kinase 1"
"IKZF1"	"IKAROS family zinc finger 1 (Ikaros)"
"PWP1"	"PWP1 homolog (S. cerevisiae)"
"CUL1"	"Cullin 1"
"CCNA2"	"Cyclin A2"
"HIBCH"	"3-hydroxyisobutyryl-Coenzyme A hydrolase"
"TPD52"	"Tumor protein D52"
"THOC1"	"THO complex 1"
"THAP11"	"THAP domain containing 11"
"SEC13"	"SEC13 homolog (S. cerevisiae)"
"JDP2"	"Jun dimerization protein 2"
"LYN"	"V-yes-1 Yamaguchi sarcoma viral related oncogene homolog"
"REL"	"V-rel reticuloendotheliosis viral oncogene homolog (avian)"
"RAF1"	"V-raf-1 murine leukemia viral oncogene homolog 1"
"UROD"	"Uroporphyrinogen decarboxylase"
"THBS2"	"Thrombospondin 2"
"ENTPD4"	"Ectonucleoside triphosphate diphosphohydrolase 4"
"KIAA0323"	"KIAA0323"
"KIAA0226"	"KIAA0226"
"CTDSP2"	"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2"
"SMAD4"	"SMAD family member 4"
"ADARB1"	"Adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)"
	
"AP1G1"	"Adaptor-related protein complex 1, gamma 1 subunit"
"FAF1"	"Fas (TNFRSF6) associated factor 1"
"DDX26B"	"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B"
"WNK1"	"WNK lysine deficient protein kinase 1"
"GRIP1"	"Glutamate receptor interacting protein 1"
"ATP11B"	"ATPase, Class VI, type 11B"
"GLUD1"	"Glutamate dehydrogenase 1"
"VNN3"	"Vanin 3"
"SAC3D1"	"SAC3 domain containing 1"
"SERBP1"	"SERPINE1 mRNA binding protein 1"
"RSC1A1"	"Regulatory solute carrier protein, family 1, member 1"
"SETD5"	"SET domain containing 5"
"FLJ30092"	"AF-1 specific protein phosphatase"
"ZXDC"	"ZXD family zinc finger C"
"TRAF3IP2"	"TRAF3 interacting protein 2"
"MFSD1"	"Major facilitator superfamily domain containing 1"
"FKBP5"	"FK506 binding protein 5"
	"CDNA FLJ32348 fis, clone PROST2007200"
	
	"**Transcribed locus"
"C1orf38"	"Chromosome 1 open reading frame 38"
"UQCR"	"Ubiquinol-cytochrome c reductase, 6.4kDa subunit"
"ACOT12"	"**Acyl-CoA thioesterase 12"
	"Transcribed locus"
	
"C6orf111"	"Chromosome 6 open reading frame 111"
	
	
	
	
	"MRNA; cDNA DKFZp451K063 (from clone DKFZp451K063)"
	
	"Transcribed locus"
"GSDML"	"Gasdermin-like"
	
	"Breast cancer antigen 32004 mRNA, partial sequence"
"TAPT1"	"Transmembrane anterior posterior transformation 1"
"CCL28"	"Chemokine (C-C motif) ligand 28"
"CXYorf1"	"Chromosomes X and Y open reading frame 1"
	"Transcribed locus"
"ROBO3"	"Roundabout, axon guidance receptor, homolog 3 (Drosophila)"
"C1orf174"	"Chromosome 1 open reading frame 174"
	"Full length insert cDNA clone YQ54B06"
"UGDH"	"UDP-glucose dehydrogenase"
	
	"**Transcribed locus"
	"Transcribed locus"
	
"CACHD1"	"Cache domain containing 1"
"DLG1"	"**Discs, large homolog 1 (Drosophila)"
	"Transcribed locus"
	"Full length insert cDNA YQ80H05"
	"Transcribed locus"
	
	
"ATAD5"	"ATPase family, AAA domain containing 5"
"CYBRD1"	"Cytochrome b reductase 1"
"C1orf168"	"Chromosome 1 open reading frame 168"
"ZMYND8"	"Zinc finger, MYND-type containing 8"
	"Transcribed locus"
	
	"**Homo sapiens, clone IMAGE:6176018, mRNA"
"KBTBD2"	"Kelch repeat and BTB (POZ) domain containing 2"
	
	
	"Transcribed locus"
	"Full length insert cDNA YU76C01"
	"CDNA clone IMAGE:4642241"
	"Transcribed locus"
"CREBBP"	"CREB binding protein (Rubinstein-Taybi syndrome)"
"PRKY"	"**Protein kinase, Y-linked"
"PARL"	"Presenilin associated, rhomboid-like"
"C14orf1"	"**Chromosome 14 open reading frame 1"
"RARRES3"	"Retinoic acid receptor responder (tazarotene induced) 3"
"GNAS"	"GNAS complex locus"
"MRPL21"	"Mitochondrial ribosomal protein L21"
	"Transcribed locus"
"C4orf8"	"Chromosome 4 open reading frame 8"
"KRT34"	"Keratin 34"
"TFDP1"	"Transcription factor Dp-1"
"BAT4"	"HLA-B associated transcript 4"
"PSMD11"	"Proteasome (prosome, macropain) 26S subunit, non-ATPase, 11"
"HSPB6"	"Heat shock protein, alpha-crystallin-related, B6"
"SEPN1"	"Selenoprotein N, 1"
	"*mitoch. cont. SRY (sex determining region Y)-box 18"
	"*mitoch. cont. RNA helicase-related protein"
"NUP62"	"Nucleoporin 62kDa"
"CCDC57"	"Coiled-coil domain containing 57"
"MGC4172"	"Short-chain dehydrogenase/reductase"
"ADHFE1"	"Alcohol dehydrogenase, iron containing, 1"
"HGSNAT"	"Heparan-alpha-glucosaminide N-acetyltransferase"
"ARHGAP21"	"**Rho GTPase activating protein 21"
"DHTKD1"	"Dehydrogenase E1 and transketolase domain containing 1"
"FLJ11286"	"Hypothetical protein FLJ11286"
"FADS1"	"Fatty acid desaturase 1"
	"Transcribed locus"
	
"SLC25A42"	"Solute carrier family 25, member 42"
	"Transcribed locus"
	
	
"WDR81"	"WD repeat domain 81"
	"CDNA clone IMAGE:4801297"
"USP19"	"Ubiquitin specific peptidase 19"
	"MRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)"
	"Transcribed locus"
"TSPAN11"	"Tetraspanin 11"
"FNBP4"	"Formin binding protein 4"
"ENPP5"	"Ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative function)"
"MBNL3"	"Muscleblind-like 3 (Drosophila)"
"ZNF545"	"Zinc finger protein 545"
"ZNF594"	"Zinc finger protein 594"
"RPP21"	"Ribonuclease P 21kDa subunit"
	
	"Transcribed locus"
"TXNDC13"	"Thioredoxin domain containing 13"
	"Full-length cDNA clone CS0DI002YJ07 of Placenta Cot 25-normalized of Homo sapiens (human)"
"PACS2"	"Phosphofurin acidic cluster sorting protein 2"
	
"THRA"	"Thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)"
"ERBB2"	"V-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)"
"RAB5A"	"RAB5A, member RAS oncogene family"
"WNT2"	"Wingless-type MMTV integration site family member 2"
"THRA"	"Thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)"
"RET"	"Ret proto-oncogene"
"EGFR"	"Epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)"
"PDGFB"	"Platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)"
"JUN"	"Jun oncogene"
"ZFP36L1"	"Zinc finger protein 36, C3H type-like 1"
"MYC"	"V-myc myelocytomatosis viral oncogene homolog (avian)"
"CASP3"	"Caspase 3, apoptosis-related cysteine peptidase"
"SFT2D3"	"SFT2 domain containing 3"
	"Full length insert cDNA clone ZC64A04"
	"Full length insert cDNA clone ZC65D06"
"GKAP1"	"G kinase anchoring protein 1"
	
"MARCH7"	"Membrane-associated ring finger (C3HC4) 7"
"KRT74"	"Keratin 74"
"XPNPEP1"	"X-prolyl aminopeptidase (aminopeptidase P) 1, soluble"
"TNRC5"	"Trinucleotide repeat containing 5"
"CHPT1"	"Choline phosphotransferase 1"
"SOCS6"	"Suppressor of cytokine signaling 6"
"BTBD16"	"BTB (POZ) domain containing 16"
"FLJ40243"	"Hypothetical protein FLJ40243"
"KIAA1212"	"KIAA1212"
"LOC196993"	"Hypothetical protein LOC196993"
"ZNF558"	"Zinc finger protein 558"
"COPB1"	"Coatomer protein complex, subunit beta 1"
"SOX17"	"SRY (sex determining region Y)-box 17"
"RAB3GAP2"	"RAB3 GTPase activating protein subunit 2 (non-catalytic)"
"ZBTB32"	"Zinc finger and BTB domain containing 32"
"ESCO2"	"Establishment of cohesion 1 homolog 2 (S. cerevisiae)"
"LOC284361"	"Hematopoietic signal peptide-containing"
"FKBP6"	"FK506 binding protein 6, 36kDa"
"ARIH2"	"**Ariadne homolog 2 (Drosophila)"
"LOC729177"	"**Hypothetical protein LOC729177"
"KIAA0738"	"KIAA0738 gene product"
	
"PAK2"	"P21 (CDKN1A)-activated kinase 2"
"UTRN"	"Utrophin"
"PDLIM4"	"PDZ and LIM domain 4"
"DDEF1"	"Development and differentiation enhancing factor 1"
	
"PTBP2"	"Polypyrimidine tract binding protein 2"
"FLJ12716"	"FLJ12716 protein"
	
"DENND4C"	"DENN/MADD domain containing 4C"
"C19orf56"	"Chromosome 19 open reading frame 56"
"HLA-DQB1"	"Major histocompatibility complex, class II, DQ beta 1"
"HLA-B"	"Major histocompatibility complex, class I, B"
"MB"	"Myoglobin"
"PAICS"	"Phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase"
"ATXN3"	"Ataxin 3"
"ITGA3"	"Integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"
"IGFBP5"	"Insulin-like growth factor binding protein 5"
"IRS1"	"Insulin receptor substrate 1"
"ID3"	"Inhibitor of DNA binding 3, dominant negative helix-loop-helix protein"
"ISL1"	"ISL1 transcription factor, LIM/homeodomain, (islet-1)"
"IFITM1"	"Interferon induced transmembrane protein 1 (9-27)"
"NSDHL"	"NAD(P) dependent steroid dehydrogenase-like"
"GCHFR"	"GTP cyclohydrolase I feedback regulator"
"DBNDD1"	"Dysbindin (dystrobrevin binding protein 1) domain containing 1"
"SETMAR"	"SET domain and mariner transposase fusion gene"
"DSCR1"	"Down syndrome critical region gene 1"
"DNASE1L3"	"Deoxyribonuclease I-like 3"
"VCX3A"	"Variable charge, X-linked 3A"
"SFRP1"	"Secreted frizzled-related protein 1"
"PDK3"	"Pyruvate dehydrogenase kinase, isozyme 3"
"DEGS1"	"Degenerative spermatocyte homolog 1, lipid desaturase (Drosophila)"
"P2RY5"	"Purinergic receptor P2Y, G-protein coupled, 5"
"PPM1D"	"Protein phosphatase 1D magnesium-dependent, delta isoform"
"FANCA"	"Fanconi anemia, complementation group A"
"FDFT1"	"Farnesyl-diphosphate farnesyltransferase 1"
"EIF5"	"Eukaryotic translation initiation factor 5"
"ESR1"	"Estrogen receptor 1"
"BUD31"	"BUD31 homolog (S. cerevisiae)"
"KDELR2"	"KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2"
"C1R"	"Complement component 1, r subcomponent"
"C4BPB"	"Complement component 4 binding protein, beta"
"CSF1R"	"Colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog"
"COL4A2"	"Collagen, type IV, alpha 2"
"F5"	"Coagulation factor V (proaccelerin, labile factor)"
"CSTF1"	"Cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa"
"DBC1"	"Deleted in bladder cancer 1"
"CPNE6"	"Copine VI (neuronal)"
"CADM3"	"Cell adhesion molecule 3"
"ARL3"	"ADP-ribosylation factor-like 3"
"RANBP10"	"RAN binding protein 10"
"CHCHD3"	"Coiled-coil-helix-coiled-coil-helix domain containing 3"
	"Homo sapiens, clone IMAGE:4419899, mRNA"
	"Transcribed locus"
"C9orf91"	"Chromosome 9 open reading frame 91"
"CPNE4"	"Copine IV"
"ADAM23"	"ADAM metallopeptidase domain 23"
"PSCD4"	"Pleckstrin homology, Sec7 and coiled-coil domains 4"
"PTCD3"	"**Pentatricopeptide repeat domain 3"
	"Transcribed locus"
"SMAD3"	"SMAD family member 3"
"ENAH"	"Enabled homolog (Drosophila)"
"PNN"	"Pinin, desmosome associated protein"
"LAT"	"Linker for activation of T cells"
"C19orf36"	"Chromosome 19 open reading frame 36"
	"CDNA FLJ34214 fis, clone FCBBF3021807"
"SLC35D2"	"Solute carrier family 35, member D2"
"NOC2L"	"Nucleolar complex associated 2 homolog (S. cerevisiae)"
	"Transcribed locus"
"SAP30"	"Sin3A-associated protein, 30kDa"
	"Clone 23911 mRNA sequence"
"ASPHD2"	"Aspartate beta-hydroxylase domain containing 2"
"SGTB"	"Small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta"
"TBC1D24"	"TBC1 domain family, member 24"
	"**Transcribed locus"
	
"SLC25A12"	"Solute carrier family 25 (mitochondrial carrier, Aralar), member 12"
"KIRREL3"	"Kin of IRRE like 3 (Drosophila)"
"OTX2"	"Orthodenticle homeobox 2"
	
	"Transcribed locus, strongly similar to XP_530470.1 hypothetical protein XP_530470 [Pan troglodytes]"
	"Transcribed locus"
"SIPA1"	"Signal-induced proliferation-associated gene 1"
"PEA15"	"Phosphoprotein enriched in astrocytes 15"
"OLFM1"	"Olfactomedin 1"
"EXTL2"	"Exostoses (multiple)-like 2"
"FAM128B"	"**Family with sequence similarity 128, member B"
"ZNF165"	"Zinc finger protein 165"
	"CDNA FLJ46701 fis, clone TRACH3014063"
"ABHD1"	"Abhydrolase domain containing 1"
"MGC24039"	"**Hypothetical protein MGC24039"
"FBXW11"	"F-box and WD repeat domain containing 11"
"SETDB2"	"SET domain, bifurcated 2"
"GLIPR1L1"	"GLI pathogenesis-related 1 like 1"
	"Transcribed locus"
"NCOR1"	"Nuclear receptor co-repressor 1"
"ENAH"	"**Enabled homolog (Drosophila)"
"RANBP6"	"RAN binding protein 6"
	"Transcribed locus"
"PRPF40B"	"**PRP40 pre-mRNA processing factor 40 homolog B (S. cerevisiae)"
"PRPF40A"	"PRP40 pre-mRNA processing factor 40 homolog A (S. cerevisiae)"
	"Transcribed locus"
"HMGB3"	"High-mobility group box 3"
"ANKHD1"	"Ankyrin repeat and KH domain containing 1"
"KLHDC5"	"Kelch domain containing 5"
"OGFOD1"	"2-oxoglutarate and iron-dependent oxygenase domain containing 1"
	
	"CDNA FLJ40982 fis, clone UTERU2014601"
	
	"MRNA; cDNA DKFZp762N156 (from clone DKFZp762N156)"
"WDR26"	"WD repeat domain 26"
"C14orf32"	"Chromosome 14 open reading frame 32"
"IRF2BP2"	"Interferon regulatory factor 2 binding protein 2"
"GLTP"	"Glycolipid transfer protein"
"CROP"	"Cisplatin resistance-associated overexpressed protein"
	"Transcribed locus, strongly similar to XP_001132840.1 similar to CDC26 subunit of anaphase promoting complex [Homo sapiens]"
"KLHL24"	"Kelch-like 24 (Drosophila)"
"ZBTB40"	"Zinc finger and BTB domain containing 40"
"TMEM41A"	"Transmembrane protein 41A"
"PPM1E"	"Protein phosphatase 1E (PP2C domain containing)"
"WIBG"	"Within bgcn homolog (Drosophila)"
"GLI3"	"GLI-Kruppel family member GLI3 (Greig cephalopolysyndactyly syndrome)"
	
"HIPK2"	"Homeodomain interacting protein kinase 2"
"RQCD1"	"RCD1 required for cell differentiation1 homolog (S. pombe)"
